音名1,音名2,唱名,频率
C,B#,1,262.63
C,B#,1#,277.18
C,B#,2,294.66
C,B#,2#,311.13
C,B#,3,330.63
C,B#,4,349.23
C,B#,4#,370.99
C,B#,5,392
C,B#,5#,415.3
C,B#,6,440
C,B#,6#,466.16
C,B#,7,494.88
C#,Db,1,277.18
C#,Db,1#,294.66
C#,Db,2,311.13
C#,Db,2#,330.63
C#,Db,3,349.23
C#,Db,4,370.99
C#,Db,4#,392
C#,Db,5,415.3
C#,Db,5#,440
C#,Db,6,466.16
C#,Db,6#,494.88
C#,Db,7,523.25
D,,1,294.66
D,,1#,311.13
D,,2,330.63
D,,2#,349.23
D,,3,370.99
D,,4,392
D,,4#,415.3
D,,5,440
D,,5#,466.16
D,,6,494.88
D,,6#,523.25
D,,7,554.37
D#,Eb,1,311.13
D#,Eb,1#,330.63
D#,Eb,2,349.23
D#,Eb,2#,370.99
D#,Eb,3,392
D#,Eb,4,415.3
D#,Eb,4#,440
D#,Eb,5,466.16
D#,Eb,5#,494.88
D#,Eb,6,523.25
D#,Eb,6#,554.37
D#,Eb,7,587.33
E,Fb,1,330.63
E,Fb,1#,349.23
E,Fb,2,370.99
E,Fb,2#,392
E,Fb,3,415.3
E,Fb,4,440
E,Fb,4#,466.16
E,Fb,5,494.88
E,Fb,5#,523.25
E,Fb,6,554.37
E,Fb,6#,587.33
E,Fb,7,622.25
F,E#,1,349.23
F,E#,1#,370.99
F,E#,2,392
F,E#,2#,415.3
F,E#,3,440
F,E#,4,466.16
F,E#,4#,494.88
F,E#,5,523.25
F,E#,5#,554.37
F,E#,6,587.33
F,E#,6#,622.25
F,E#,7,659.26
F#,Gb,1,370.99
F#,Gb,1#,392
F#,Gb,2,415.3
F#,Gb,2#,440
F#,Gb,3,466.16
F#,Gb,4,494.88
F#,Gb,4#,523.25
F#,Gb,5,554.37
F#,Gb,5#,587.33
F#,Gb,6,622.25
F#,Gb,6#,659.26
F#,Gb,7,698.46
G,,1,392
G,,1#,415.3
G,,2,440
G,,2#,466.16
G,,3,494.88
G,,4,523.25
G,,4#,554.37
G,,5,587.33
G,,5#,622.25
G,,6,659.26
G,,6#,698.46
G,,7,740.99
G#,Ab,1,415.3
G#,Ab,1#,440
G#,Ab,2,466.16
G#,Ab,2#,494.88
G#,Ab,3,523.25
G#,Ab,4,554.37
G#,Ab,4#,587.33
G#,Ab,5,622.25
G#,Ab,5#,659.26
G#,Ab,6,698.46
G#,Ab,6#,740.99
G#,Ab,7,784.99
A,,1,440
A,,1#,466.16
A,,2,494.88
A,,2#,523.25
A,,3,554.37
A,,4,587.33
A,,4#,622.25
A,,5,659.26
A,,5#,698.46
A,,6,740.99
A,,6#,784.99
A,,7,831.61
A#,Bb,1,466.16
A#,Bb,1#,494.88
A#,Bb,2,523.25
A#,Bb,2#,554.37
A#,Bb,3,587.33
A#,Bb,4,622.25
A#,Bb,4#,659.26
A#,Bb,5,698.46
A#,Bb,5#,740.99
A#,Bb,6,784.99
A#,Bb,6#,831.61
A#,Bb,7,880
B,Cb,1,494.88
B,Cb,1#,523.25
B,Cb,2,554.37
B,Cb,2#,587.33
B,Cb,3,622.25
B,Cb,4,659.26
B,Cb,4#,698.46
B,Cb,5,740.99
B,Cb,5#,784.99
B,Cb,6,831.61
B,Cb,6#,880
B,Cb,7,932.33
